Task ID,Layer,Category,Sub-Category,Task Name,Description,Estimated Days,Priority,Start Date,End Date,Status
T149,QA & Testing,Testing,Integration Tests,End-to-end: Stay extension flow,Extend stay → Check availability → Pay → eZee sync → Staff notified.,3,High,29-Apr-2026,01-May-2026,Not Started
T150,QA & Testing,Testing,Load Testing,Load test API Gateway and services at 500 RPS,Run k6 or Artillery load tests. Identify bottlenecks in inventory service / DB queries.,3,Critical,29-Apr-2026,01-May-2026,Not Started
T151,QA & Testing,Testing,Load Testing,Validate PgBouncer under load,Verify no Postgres connection exhaustion at 500 RPS with PgBouncer.,2,Critical,01-May-2026,02-May-2026,Not Started
T152,QA & Testing,Testing,Load Testing,Validate Redis cache hit rate,Confirm catalog and inventory cache hits are > 95% to protect DB under load.,1,High,02-May-2026,02-May-2026,Not Started
T153,Deployment,DevOps,Production,Production environment setup (AWS),VPC / Subnets / Security Groups / RDS / ElastiCache / MSK (Kafka) / ECS.,3,Critical,28-Apr-2026,30-Apr-2026,Not Started
T154,Deployment,DevOps,Production,Deploy all services to ECS with ALB,Push Docker images to ECR. Create ECS service definitions. Wire to ALB target groups.,3,Critical,01-May-2026,03-May-2026,Not Started
T155,Deployment,DevOps,Production,Configure zero-downtime rolling deployments,ECS rolling update with min 50% healthy, deregistration delay on ALB.,1,Critical,04-May-2026,04-May-2026,Not Started
T156,Deployment,DevOps,Production,Set up CloudWatch alarms,Alarms for: P99 latency > 500ms / error rate > 1% / eZee sync failures > 5.,1,High,04-May-2026,04-May-2026,Not Started
T157,Deployment,DevOps,Production,UAT with live eZee PMS sandbox,End-to-end test with actual eZee sandbox API keys for AddExtraCharge + UpdateCheckout.,3,Critical,05-May-2026,07-May-2026,Not Started
T158,Deployment,DevOps,Production,UAT with MyGate sandbox,Test PIN generation and revocation with MyGate test environment.,2,Critical,05-May-2026,06-May-2026,Not Started
T159,Deployment,DevOps,Production,Staff onboarding + kiosk tablet setup,Install PWA on tablets. Configure MDM (Intune/Jamf). Test kiosk locked mode.,2,High,08-May-2026,09-May-2026,Not Started
T160,Deployment,DevOps,Production,Soft launch + monitoring for 1 week,Go live. Monitor CloudWatch. Be on-call for critical bugs. Fix production issues.,5,Critical,10-May-2026,14-May-2026,Not Started
